,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available,bus_name,bus_type,seat_available
0,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 189473,NON AC Seater / Sleeper 2+1,00:45,03h 45m,04:30,3.9,282,37,,,
1,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 193312,A/C Seater / Sleeper (2+1),01:15,03h 45m,05:00,3.9,413,36,,,
2,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 192299,Super Luxury Volvo AC Seater Pushback 2+2,01:45,03h 45m,05:30,4.4,424,37,,,
3,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 189583,NON AC Seater / Sleeper 2+1,02:45,03h 45m,06:30,3.9,282,37,,,
4,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 173716,NON AC Seater / Sleeper 2+1,03:45,04h 15m,08:00,3.9,282,37,,,
5,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 166406,Express Non AC Seater 2+3,05:40,04h 05m,09:45,3.9,211,42,,,
6,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 193226,Semi Deluxe Non AC Seater 2+2,06:00,04h 10m,10:10,3.9,230,35,,,
7,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 184744,Express Non AC Seater 2+3,06:25,04h 05m,10:30,3.9,211,46,,,
8,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 166441,Express Non AC Seater 2+3,06:45,04h 05m,10:50,3.9,211,46,,,
9,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 166472,Express Non AC Seater 2+3,07:10,04h 05m,11:15,3.9,211,46,,,
10,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 193773,Express Non AC Seater 2+3,07:20,04h 20m,11:40,3.9,211,42,,,
11,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 166414,Express Non AC Seater 2+3,07:30,04h 05m,11:35,3.9,211,42,,,
12,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 166461,Express Non AC Seater 2+3,07:50,04h 05m,11:55,3.9,211,46,,,
13,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 193662,Express Non AC Seater 2+3,07:55,04h 25m,12:20,3.9,211,42,,,
14,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 166423,Express Non AC Seater 2+3,08:10,03h 55m,12:05,3.9,211,42,,,
15,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 168098,Express Non AC Seater 2+3,08:25,04h 05m,12:30,3.9,211,46,,,
16,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 184796,Express Non AC Seater 2+3,08:50,04h 05m,12:55,3.9,211,46,,,
17,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 193667,Express Non AC Seater 2+3,09:05,04h 25m,13:30,3.9,211,42,,,
18,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 146314,Super Luxury Volvo AC Seater Pushback 2+2,09:15,03h 15m,12:30,3.9,424,35,,,
19,Beawar (Rajasthan) to Jaipur (Rajasthan),https://www.redbus.in/bus-tickets/beawer-to-jaipur,RSRTC - 192985,Express Non AC Seater 2+3,09:25,03h 35m,13:00,3.9,211,42,,,
